nodeId,labels,name
133,[Person],susan p. walker
134,[Person],m rottenstreich
135,[Person],hy sela
136,[Person],r rotem
137,[Person],e kadish
138,[Person],y wiener well
139,[Person],s grisaru granovsky
140,[Person],aharon dick
141,[Person],joshua i rosenbloom
142,[Person],einat gutman ido
143,[Person],naama lessans
144,[Person],adva cahen peretz
145,[Person],henry h chill
146,[Person],m.m. patel
147,[Person],heather s. lipkind
148,[Person],gabriela vazquez benitez
149,[Person],malini desilva
150,[Person],kimberly k. vesco
151,[Person],christina ackerman banks
152,[Person],jingyi zhu
153,[Person],thomas g. boyce
154,[Person],matthew f. daley
155,[Person],candace c. fuller
156,[Person],darios getahun
157,[Person],stephanie a. irving
158,[Person],lisa a. jackson
159,[Person],joshua t.b. williams
160,[Person],ousseny zerbo
161,[Person],michael m. mcneil
162,[Person],christine k. olson
163,[Person],eric weintraub
164,[Person],elyse o. kharbanda
165,[Person],brad crane
166,[Person],allison naleway
167,[Person],leslie kuckler
168,[Person],"john a. morgan, md"
169,[Person],"joseph r. biggio jr, md, ms"
170,[Person],"jane k. martin, md"
171,[Person],"naiha mussarat, md"
172,[Person],"ardem elmayan, mph"
173,[Person],"harsheen k. chawla, bsc"
174,[Person],"savannah kandalaft, bsc"
175,[Person],"gabrielle r. magalski, bsc"
176,[Person],"priya puri, bsc"
177,[Person],"frank b. williams, md"
178,[Person],regan n. theiler
179,[Person],myra wick
180,[Person],ramila mehta
181,[Person],amy l. weaver
182,[Person],abinash virk
183,[Person],melanie swift
184,[Health_Outcome],obstetric and neonatal outcomes
185,[Study_Type],prospective observational research
186,[Study_Type],multicenter cohort study
187,[Healthcare_Organization],us department of health and human services/centers for disease control and prevention
