relationshipId,type,startNode,endNode,property
6917551017873637450,leads_to,63,74,null
6917551017873637451,leads_to,63,75,null
6917551017873637452,leads_to,63,76,null
6917551017873637453,leads_to,63,77,null
6917551017873637454,leads_to,63,78,null
6917551017873637455,leads_to,63,79,null
6917551017873637456,leads_to,63,80,null
6917551017873637457,leads_to,63,81,null
6917551017873637458,leads_to,63,82,null
6917551017873637459,leads_to,63,83,null
6917551017873637460,leads_to,63,84,null
1152944594351030336,investigated,64,36,null
6917552117385265223,investigated,64,71,null
1152945693862658112,found_no_significant_effect_on,64,44,null
1155197493676343360,found_no_significant_effect_on,64,59,null
1152946793374285888,found_no_significant_association_with,64,45,null
6917555415920148545,found_no_significant_difference_in,64,65,null
6917555415920148546,found_no_significant_difference_in,64,66,null
6917555415920148547,found_no_significant_difference_in,64,67,null
6917556515431776324,found_a_significant_association_with_increased,64,68,null
6917557614943404101,utilized,64,69,null
6917557614943404102,utilized,64,70,null
1152934698746380379,colleague,91,92,null
1155186498560065627,colleague,91,93,null
1157438298373750875,colleague,91,94,null
1159690098187436123,colleague,91,95,null
1161941898001121371,colleague,91,96,null
6917542221780615265,colleague,91,97,null
1152934698746380386,colleague,98,99,null
1155186498560065634,colleague,98,100,null
1157438298373750882,colleague,98,101,null
1152934698746380390,colleague,102,103,null
1155186498560065638,colleague,102,104,null
1157438298373750886,colleague,102,105,null
1152934698746380394,colleague,106,107,null
1155186498560065642,colleague,106,108,null
1157438298373750890,colleague,106,109,null
1159690098187436138,colleague,106,110,null
1152934698746380399,colleague,111,112,null
1155186498560065647,colleague,111,113,null
1157438298373750895,colleague,111,114,null
1152934698746380403,colleague,115,116,null
1155186498560065651,colleague,115,117,null
1157438298373750899,colleague,115,118,null
1152934698746380407,colleague,119,120,null
1155186498560065655,colleague,119,121,null
1152934698746380410,colleague,122,123,null
1155186498560065658,colleague,122,124,null
1157438298373750906,colleague,122,125,null
1159690098187436154,colleague,122,126,null
1161941898001121402,colleague,122,127,null
6917542221780615296,colleague,122,128,null
6917542221780615297,colleague,122,129,null
6917542221780615298,colleague,122,130,null
6917542221780615299,colleague,122,131,null
6917542221780615300,colleague,122,132,null
6917542221780615301,colleague,122,133,null
1152927002164986041,involves,185,50,null
1152927002164986042,involves,186,50,null
1152928101676613819,research_on,187,63,null
